ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
;Beta-222406;6820;50;bone;Croatia;Crno Vrilo;neolithic;Marjanovic 09;HR2CRN
;Beta-225629;6920;40;charcoal;Croatia;Zemunica;neolithic;Rajna 15;HR2ZEM
;Beta-225630;7120;40;bone;Croatia;Zemunica;neolithic;Rajna 15;HR2ZEM
;Beta-225631;9620;50;charcoal;Croatia;Zemunica;mesolithic;Rajna 15;HR2ZEM
;Beta-225632;9700;50;charcoal;Croatia;Zemunica;mesolithic;Rajna 15;HR2ZEM
;Beta-236133;9310;60;bone;Croatia;Zemunica;mesolithic;Rajna 15;HR2ZEM
;Beta-236134;6550;40;bone;Croatia;Zemunica;neolithic;Rajna 15;HR2ZEM
;Beta-241020;3850;60;charcoal;Croatia;jukića gomile;neolithic;forenbaher 18;HR2JGO
;Beta-241024;3590;40;charcoal;Croatia;jukića gomile;neolithic;forenbaher 18;HR2JGO
;Beta-248564;3670;40;human bone;Croatia;Begovići;neolithic;forenbaher 18;HR2BEG
;Beta-260022;3400;40;bone;Croatia;Zagomilje 2;neolithic;forenbaher 18;HR2ZAG
;beta-287818;6840;40;;Croatia;Mala Pećina;neolithic;Drnić et al 2018;HR2MAP
;Beta-293836;6700;50;charcoal;Croatia;Dzurdzeva greda;neolithic;Forenbaher;HR2DZU
;Beta-396319;8600;30;bone;Italy;Riparo di Biarzo;mesolithic;Vai et al 2015;IT2BIA
;Beta-396320;9170;40;bone;Italy;Riparo di Biarzo;mesolithic;Vai et al 2015;IT2BIA
;Beta-396321;8750;30;bone;Italy;Riparo di Biarzo;mesolithic;Vai et al 2015;IT2BIA
;Beta-396322;7950;30;bone;Italy;Riparo di Biarzo;mesolithic;Vai et al 2015;IT2BIA
;Beta-404755;8280;30;bone;Italy;Riparo di Biarzo;mesolithic;Vai et al 2015;IT2BIA
;Beta-426502;9170;30;;Albania;Nezir;mesolithic;Hauc et al 2017;AL2NEZ
;BETA-426505;9310;30;;Albania;Nezir;mesolithic;Hauc et al 2017;AL2NEZ
;BETA-426507;9020;30;;Albania;Nezir;mesolithic;Hauc et al 2017;AL2NEZ
27941;Beta-47808;6890;60;seed/fruit;Italy;Ripa Tetta;neolithic;Natali 2017;IT2RIP
;Beta-5641;5810;120;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-56415;7060;110;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-56416;6800;140;sediment;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-59933;6870;70;;Italy;Terragne;neolithic;Fiorentino 13;IT2TER
;Beta-59934;6930;70;;Italy;Terragne;mesolithic;Fiorentino 13;IT2TER
;Beta-67084;7630;140;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-67093;7260;60;;Italy;Terragne;mesolithic;Fiorentino 13;IT2TER
;Beta-67802;6830;80;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-67803;7510;90;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
27257;Beta-71143;6820;80;charcoal;Italy;Defensola;neolithic;Natali 2017;﻿IT2DEF
27258;Beta-71144;6670;70;charcoal;Italy;Defensola;neolithic;Natali 2017;﻿IT2DEF
;Beta-76083;7510;90;charcoal;Albania;Konispol;neolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-784795;4080;40;shell;Slovenia;Mala Triglavca;neolithic;Turk ;SI2MT
;Beta-79990;7410;80;charcoal;Albania;Konispol;mesolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-80000;7550;80;charcoal;Albania;Konispol;mesolithic;(Schuldenrein J., 1998: 510);AL2KON
;Beta-80001;8900;180;charcoal;Albania;Konispol;mesolithic;(Schuldenrein J., 1998: 510);AL2KON
